TABLE_NAME	TABLE_TYPE
ncbi_raw_sra_study	TABLE
ncbi_sra_view	TABLE
ncbi_sra_view_old	TABLE
ncbi_taxonomy	TABLE
ncbi_taxonomy_type_material	TABLE
ncbigold_project_counts	TABLE
organism_biotic_rel	TABLE
organism_body_product	TABLE
organism_cell_arrangement	TABLE
organism_disease	TABLE
organism_energy_source	TABLE
organism_habitat	TABLE
organism_metabolism	TABLE
organism_phenotype	TABLE
organism_v2	TABLE
package_built_environment	TABLE
package_host_associated	TABLE
package_human_associated	TABLE
package_hydrocarbon_core	TABLE
package_hydrocarbon_fs	TABLE
package_microbial_mat	TABLE
package_plant	TABLE
package_sediment	TABLE
package_selection	TABLE
package_soil	TABLE
package_version	TABLE
package_wastewater	TABLE
package_water	TABLE
precalculated_data	TABLE
project	TABLE
project_analysis_project	TABLE
project_biosample	TABLE
project_collaborator	TABLE
project_cyano_metadata	TABLE
project_funding_agency	TABLE
project_genome_publication	TABLE
project_ignored_publication	TABLE
project_library	TABLE
project_other_publication	TABLE
project_relation	TABLE
project_relevance	TABLE
project_sequencing_center	TABLE
project_sequencing_method	TABLE
project_unassigned_publication	TABLE
publication	TABLE
qc_rules	TABLE
ror	TABLE
sequencing_method	TABLE
sequencing_method_mapping	TABLE
shiro_permission	TABLE
sigs_view	TABLE
snapshot_biosample	TABLE
snapshot_organism	TABLE
snapshot_project	TABLE
snapshot_project_biosample	TABLE
sra_experiment_v2	TABLE
sra_run_v2	TABLE
sra_sample_v2	TABLE
sra_study_v2	TABLE
sra_v2_mapped_seq_strategy	TABLE
sraapview	TABLE
ss_biosample	TABLE
ss_organism	TABLE
study	TABLE
study_ncbi_bioproject	TABLE
study_publication	TABLE
study_relevance	TABLE
table_row_count	TABLE
tbk_gold_spids	TABLE
tmp_sm_ncbi_prokref	TABLE
tooltips	TABLE
v5_sp_for_ws_view	TABLE
